Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.26
Upper Discriminator:,1582
Lower Discriminator:,19
Calibration Coefficients:,2.3506120764788457E-5,0.7050701467544402,0.9207478481151286
Calibration Channels:,123,1782,910
Calibration Energies:,88.0,1332.0,662.0
Elapsed Real Time:,350.55
Elapsed Live Time:,324.64
Start Time:,March 12, 2019, 12:40:23
End Time:,March 12, 2019, 12:39:29
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,1504,1656,115,114,5,1177
2,1712,1852,87,86,0,1328
3,20,56,902714,827660,18,26
4,97,128,323010,125233,20,80
5,456,523,207764,49085,44,351
6,149,173,47715,4989,17,114
7,198,241,57775,5568,21,156

Channel Data:
Channel,Energy,Counts
0,0.9207478481151286,0
1,1.6258415009903335,0
2,2.330982166107068,0
3,3.0361698434653324,0
4,3.7414045330651264,1
5,4.4466862349064495,1
6,5.152014948989303,4
7,5.857390675313685,3
8,6.5628134138795975,7
9,7.268283164687039,7
10,7.97379992773601,3
11,8.67936370302651,1
12,9.384974490558541,9
13,10.0906322903321,9
14,10.79633710234719,5
15,11.50208892660381,9
16,12.207887763101958,18
17,12.913733611841637,13
18,13.619626472822846,24
19,14.325566346045582,43
20,15.031553231509848,104
21,15.737587129215646,554
22,16.44366803916297,4521
23,17.149795961351824,9572
24,17.85597089578221,13211
25,18.562192842454127,17401
26,19.26846180136757,21989
27,19.974777772522547,26906
28,20.681140755919046,31800
29,21.38755075155708,36678
30,22.094007759436643,40407
31,22.800511779557734,43867
32,23.50706281192036,46817
33,24.21366085652451,48434
34,24.920305913370193,49624
35,25.626997982457404,49997
36,26.333737063786142,49140
37,27.04052315735641,47326
38,27.74735626316821,44402
39,28.454236381221538,41412
40,29.1611635115164,37444
41,29.868137654052788,34445
42,30.575158808830704,30811
43,31.282226975850154,27528
44,31.989342155111125,24330
45,32.69650434661364,21657
46,33.40371355035767,18246
47,34.11096976634324,15779
48,34.81827299457033,13467
49,35.52562323503895,11657
50,36.23302048774911,9586
51,36.94046475270079,8126
52,37.64795602989401,6794
53,38.35549431932875,5740
54,39.06307962100502,4897
55,39.77071193492282,4286
56,40.47839126108215,3759
57,41.18611759948302,3431
58,41.89389095012541,3148
