Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.26
Upper Discriminator:,1582
Lower Discriminator:,19
Calibration Coefficients:,2.3506120764788457E-5,0.7050701467544402,0.9207478481151286
Calibration Channels:,123,1782,910
Calibration Energies:,88.0,1332.0,662.0
Elapsed Real Time:,535.34
Elapsed Live Time:,528.2
Start Time:,March 12, 2019, 12:10:47
End Time:,March 12, 2019, 12:09:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,88,151,45378,33214,27,86
2,234,282,1776,327,4,183

Channel Data:
Channel,Energy,Counts
0,0.9207478481151286,0
1,1.6258415009903335,0
2,2.330982166107068,0
3,3.0361698434653324,0
4,3.7414045330651264,0
5,4.4466862349064495,0
6,5.152014948989303,0
7,5.857390675313685,0
8,6.5628134138795975,0
9,7.268283164687039,0
10,7.97379992773601,0
11,8.67936370302651,0
12,9.384974490558541,0
13,10.0906322903321,0
14,10.79633710234719,1
15,11.50208892660381,1
16,12.207887763101958,3
17,12.913733611841637,8
18,13.619626472822846,18
19,14.325566346045582,21
20,15.031553231509848,146
21,15.737587129215646,1509
22,16.44366803916297,29535
23,17.149795961351824,47305
24,17.85597089578221,46615
25,18.562192842454127,43645
26,19.26846180136757,39240
27,19.974777772522547,33947
28,20.681140755919046,28675
29,21.38755075155708,23770
30,22.094007759436643,19454
31,22.800511779557734,15510
32,23.50706281192036,12261
33,24.21366085652451,9604
34,24.920305913370193,7302
35,25.626997982457404,5771
36,26.333737063786142,4181
37,27.04052315735641,3272
38,27.74735626316821,2375
39,28.454236381221538,1738
40,29.1611635115164,1310
41,29.868137654052788,905
42,30.575158808830704,712
43,31.282226975850154,539
44,31.989342155111125,394
45,32.69650434661364,323
46,33.40371355035767,267
47,34.11096976634324,205
48,34.81827299457033,163
49,35.52562323503895,184
50,36.23302048774911,154
51,36.94046475270079,134
52,37.64795602989401,132
53,38.35549431932875,144
54,39.06307962100502,109
55,39.77071193492282,116
56,40.47839126108215,128
57,41.18611759948302,131
58,41.89389095012541,143
59,42.60171131300933,118
60,43.30957868813478,121
61,44.01749307550176,132
62,44.72545447511027,116
63,45.433462886960314,121
64,46.141518311051875,139
65,46.84962074738497,140
66,47.557770195959606,131
