Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.26
Upper Discriminator:,1582
Lower Discriminator:,19
Calibration Coefficients:,2.3506120764788457E-5,0.7050701467544402,0.9207478481151286
Calibration Channels:,123,1782,910
Calibration Energies:,88.0,1332.0,662.0
Elapsed Real Time:,532.19
Elapsed Live Time:,443.86
Start Time:,March 12, 2019, 12:03:58
End Time:,March 12, 2019, 12:09:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,781,1029,1881829,1661089,102,662
2,605,629,107775,1351,5,444
3,237,325,702098,96007,50,200
4,85,126,313845,30050,25,75
5,27,63,1011538,487505,17,29

Channel Data:
Channel,Energy,Counts
0,0.9207478481151286,213
1,1.6258415009903335,19
2,2.330982166107068,29
3,3.0361698434653324,35
4,3.7414045330651264,41
5,4.4466862349064495,42
6,5.152014948989303,37
7,5.857390675313685,45
8,6.5628134138795975,50
9,7.268283164687039,73
10,7.97379992773601,74
11,8.67936370302651,80
12,9.384974490558541,90
13,10.0906322903321,108
14,10.79633710234719,94
15,11.50208892660381,123
16,12.207887763101958,135
17,12.913733611841637,184
18,13.619626472822846,210
19,14.325566346045582,271
20,15.031553231509848,533
21,15.737587129215646,1879
22,16.44366803916297,6116
23,17.149795961351824,11164
24,17.85597089578221,13325
25,18.562192842454127,15726
26,19.26846180136757,17949
27,19.974777772522547,20795
28,20.681140755919046,23561
29,21.38755075155708,27282
30,22.094007759436643,30429
31,22.800511779557734,33601
32,23.50706281192036,36860
33,24.21366085652451,39721
34,24.920305913370193,42248
35,25.626997982457404,44868
36,26.333737063786142,45922
37,27.04052315735641,47235
38,27.74735626316821,46476
39,28.454236381221538,45779
40,29.1611635115164,44200
41,29.868137654052788,43010
42,30.575158808830704,40978
43,31.282226975850154,39259
44,31.989342155111125,37051
45,32.69650434661364,34384
46,33.40371355035767,31907
47,34.11096976634324,29243
48,34.81827299457033,26514
49,35.52562323503895,24273
50,36.23302048774911,21636
51,36.94046475270079,19699
52,37.64795602989401,17647
53,38.35549431932875,15857
54,39.06307962100502,14273
55,39.77071193492282,12845
56,40.47839126108215,11738
57,41.18611759948302,10657
58,41.89389095012541,9965
59,42.60171131300933,9288
60,43.30957868813478,8667
61,44.01749307550176,8287
